card_code,name,class,card_type,sub_type,cost,attack,hp,effect
BP09-001,ユグドラシル,エルフ,フォロワー,精霊・植物族,5,3,5,"【ファンファーレ】自分のデッキから【エルフ】スペル1枚を探し、手札に加える。
【起動】【コスト1】：自分の墓場の元のコストX以下の【エルフ】スペル1枚を選ぶ。それをEXエリアに置く。Xは「自分の墓場にある【エルフ】スペルのカード名の種類数」である。このターン、それをプレイする際、コストを0にする。この能力は1ターンに1回使える。"
BP09-002,ホワイトヴァナラ,エルフ,フォロワー,精霊・獣,4,2,2,"【進化】【コスト1】：これは進化する。
自分の場に他のフォロワーが出たとき、これは【攻撃力】+1/【体力】+1する。場に出たフォロワーが獣・フォロワーなら、代わりに【攻撃力】+2/【体力】+2する。"
BP09-003,ホワイトヴァナラ,エルフ,フォロワー・エボルヴ,精霊・獣,-,3,3,"これの攻撃力が4以上である限り、これは【守護】を持つ。これの攻撃力が7以上である限り、これは【疾走】を持つ。これの攻撃力が10以上である限り、これは【守護】を無視して攻撃できる。
【攻撃時】相手の場のフォロワー1体を選ぶ。それに「これの攻撃力」と同じダメージ。"
BP09-004,愛の妖精・ポーラ,エルフ,フォロワー,妖精,2,2,2,【進化】【コスト1】：これは『深緑の純心・ポーラ』か『真紅の絆・ポーラ』に進化する。
BP09-005,深緑の純心・ポーラ,エルフ,フォロワー・エボルヴ,妖精,-,3,3,【進化時】自分のデッキの上5枚を見る。その中から、【エルフ】スペル1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
BP09-006,翠嵐の斧使い,エルフ,フォロワー,エルフ族・狩人,3,4,3,"自分のターンごとに1回、自分が手札の【エルフ】スペルを捨てたとき、1枚引く。
【起動】これを【アクト】手札1枚を捨てる：下記から1つチョイスする。【1】相手の場のフォロワー1体を選ぶ。それに4ダメージ。【2】相手のリーダーすべてに2ダメージ。"
BP09-007,森羅の怒り,エルフ,スペル,精霊・植物族・キラー,4,-,-,相手の場のフォロワーすべてに3ダメージ。自分の墓場にある【エルフ】スペルのカード名の種類数が5種類以上なら、代わりに5ダメージ。相手のリーダーすべてに2ダメージ。
BP09-008,歴戦の鷹匠,エルフ,フォロワー,狩人・獣,4,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】『ホーリーファルコン』1体を出す。
―――――――――――――――
『ホーリーファルコン』【ビショップ】鳥族・フォロワー【コスト3】【攻撃力】2/【体力】2【疾走】"
BP09-009,歴戦の鷹匠,エルフ,フォロワー・エボルヴ,狩人・獣,-,4,4,【進化時】自分の場の『ホーリーファルコン』1体を選ぶ。それは【攻撃力】+1して、【必殺】を持つ。
BP09-010,オウルマン,エルフ,フォロワー,狩人・獣,1,2,1,【ファンファーレ】自分の場の他の獣・フォロワー1体を選ぶ。それは【攻撃力】+1/【体力】+1する。
BP09-011,万象の加護,エルフ,スペル,精霊・植物族・光輝,1,-,-,1枚引く。自分の墓場にある【エルフ】スペルのカード名の種類数が5種類以上なら、自分のリーダーは【体力】+2する。
BP09-012,バッタの指揮者,エルフ,フォロワー,精霊・虫族,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分の墓場にある【エルフ】スペルのカード名の種類数が5種類以上なら、相手の場のフォロワー1体を選ぶ。それに4ダメージ。"
BP09-013,バッタの指揮者,エルフ,フォロワー・エボルヴ,精霊・虫族,-,4,4,【進化時】自分のデッキから元のコスト1以下の【エルフ】スペル1枚を探し、手札に加える。
BP09-014,エルフジェネラル,エルフ,フォロワー,エルフ族,5,4,5,"【守護】
【ファンファーレ】『フェアリー』2体を出す。それは【攻撃力】+1/【体力】+1して、【守護】を持つ。
―――――――――――――――
『フェアリー』【エルフ】妖精・フォロワー【コスト1】【攻撃力】1/【体力】1"
BP09-015,アーボリスト・ライラ,エルフ,フォロワー,植物族,1,2,2,【ファンファーレ】手札1枚を捨てる：自分のリーダーは【体力】+1する。【エルフ】スペルを捨てたなら、1枚引く。
BP09-016,すり替わり,エルフ,スペル,人形,2,-,-,"元のコスト3以下の相手の場のフォロワー1体を選ぶ。それを手札に戻す。『操り人形』1枚をEXエリアに置く。（手札に戻ったトークンはゲームから取り除く）
―――――――――――――――
『操り人形』【ニュートラル】人形・フォロワー【コスト1】【攻撃力】1/【体力】1【突進】"
BP09-017,妖精花,エルフ,アミュレット,妖精・植物族,2,-,-,"【ファンファーレ】『フェアリーウィスプ』1枚をEXエリアに置く。
【起動】これを【アクト】墓場に置く：『フェアリー』1体を出す。
―――――――――――――――
『フェアリーウィスプ』【エルフ】妖精・フォロワー【コスト0】【攻撃力】1/【体力】1
『フェアリー』【エルフ】妖精・フォロワー【コスト1】【攻撃力】1/【体力】1"
BP09-018,空の指揮官・セリア,ロイヤル,フォロワー,指揮官,1,2,2,"【進化】【コスト1】：これは『希望の戦術家・セリア』に進化する。
【進化】【コスト4】：これは『絶望の使者・セリア』に進化する。"
BP09-019,希望の戦術家・セリア,ロイヤル,フォロワー・エボルヴ,指揮官・キラー,-,2,2,"【進化時】『シールドガーディアン』1体を出す。
―――――――――――――――
『シールドガーディアン』【ロイヤル】兵士・フォロワー【コスト1】【攻撃力】1/【体力】1【守護】"
BP09-020,スパルタクス,ロイヤル,フォロワー,指揮官,5,4,6,"【守護】
自分のエンドフェイズが来たとき、自分の手札を好きな枚数捨てる。X枚引く。Xは「これによって捨てた手札の枚数+1」である。その後、自分のデッキが1枚以下なら、自分はこのバトルに勝利する。"
BP09-021,イノセントプリンセス・プリム,ロイヤル,フォロワー,指揮官・プリンセス,2,1,1,"【進化】【コスト1】：これは進化する。
【ファンファーレ】『ナイト』1体を出す。
―――――――――――――――
『ナイト』【ロイヤル】兵士・フォロワー【コスト1】【攻撃力】1/【体力】1"
BP09-022,イノセントプリンセス・プリム,ロイヤル,フォロワー・エボルヴ,指揮官・プリンセス,-,2,2,【進化時】自分のデッキから『静かなるメイド・ノーニャ』1枚を探し、手札に加える。
BP09-023,静かなるメイド・ノーニャ,ロイヤル,フォロワー,兵士・メイド,3,4,4,"これをプレイする際、自分の場に『イノセントプリンセス・プリム』がいるなら、コストを-1する。
【ファンファーレ】2枚引く。自分の手札2枚を捨てる。"
BP09-024,白と黒の決闘,ロイヤル,スペル,指揮官・童話,5,-,-,"【起動】【コスト2】墓場のこれを消滅：自分の場の『ナイト』すべては【攻撃力】+1して、【疾走】を持つ。
----------
自分のデッキから『白の王・イメラ』1枚と『黒の女王・マグナス』1枚を探し、場に出す。それは【攻撃力】+1/【体力】+1する。"
BP09-025,悪魔伯爵・ダリオ,ロイヤル,フォロワー,指揮官・貴族,4,4,4,"【進化】【コスト1】：これは進化する。
【指定攻撃】"
BP09-026,悪魔伯爵・ダリオ,ロイヤル,フォロワー・エボルヴ,指揮官・貴族,-,5,5,"【指定攻撃】
自分のターン中、相手のフォロワーが場から墓場に置かれたとき、これは【攻撃力】+1/【体力】+1する。"
BP09-027,白の王・イメラ,ロイヤル,フォロワー,指揮官・童話・光輝,3,4,3,"【突進】
【攻撃時】『ナイト』1枚をEXエリアに置く。
【ファンファーレ】『ナイト』1体を出す。自分の場に『黒の女王・マグナス』がいるなら、代わりに2体。
―――――――――――――――
『ナイト』【ロイヤル】兵士・フォロワー【コスト1】【攻撃力】1/【体力】1"
BP09-028,黒の女王・マグナス,ロイヤル,フォロワー,指揮官・童話・キラー,2,2,2,"これがいる限り、自分の場の『白の王・イメラ』すべては【指定攻撃】を持つ。
【起動】これを【アクト】：自分の場の他の【ロイヤル】フォロワー2体まで選ぶ。それは【攻撃力】+1する。"
BP09-029,アックスプリンセス,ロイヤル,フォロワー,指揮官・プリンセス,1,2,2,【進化】【コスト4】：これは進化する。
BP09-030,アックスプリンセス,ロイヤル,フォロワー・エボルヴ,指揮官・プリンセス,-,4,4,【進化時】相手の場のフォロワー1体を選ぶ。それに4ダメージ。
BP09-031,マスターサムライ,ロイヤル,フォロワー,兵士,3,2,4,"【突進】
【ファンファーレ】相手の場のフォロワー1体を選ぶ。それに「これの攻撃力」と同じダメージ。"
BP09-032,粗暴な豪剣士,ロイヤル,フォロワー,兵士,1,2,2,【ファンファーレ】自分の場にトークン・フォロワーがいるなら、これは【攻撃力】+1/【体力】+1する。
BP09-033,大商人,ロイヤル,フォロワー,貴族・商人,5,3,3,【ファンファーレ】手札3枚を捨てる：3枚引く。自分のPPを2回復する。
BP09-034,前線の城壁,ロイヤル,アミュレット,兵士,2,-,-,【Q】【起動】これを【アクト】墓場に置く：相手の場のフォロワー1体を選ぶ。それに3ダメージ。
BP09-035,永劫を求む者・ケリドウェン,ウィッチ,フォロワー,錬金術師・禁忌,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】【土の秘術】『刹那の劇薬』1枚をEXエリアに置く。
―――――――――――――――
『刹那の劇薬』【ウィッチ】錬金術師・禁忌・スペル【コスト2】相手の場のフォロワー1体を選ぶ。それに4ダメージ。それのリーダーに2ダメージ。"
