card_code,name,class,card_type,sub_type,cost,attack,hp,effect
CP01-001,サイレンススズカ,エルフ,フォロワー,ウマ娘,4,4,1,"【進化】【コスト2】：これは進化する。
【食事】【コスト1】：これは出走する。
【疾走】"
CP01-002,サイレンススズカ,エルフ,フォロワー・エボルヴ,ウマ娘,-,5,2,"【疾走】
【進化時】相手のフォロワー1体を選ぶ。それをデッキの上に置く。（デッキに置いたトークンはゲームから取り除く）"
CP01-003,スマートファルコン,エルフ,フォロワー,ウマ娘,5,5,5,"【食事】【コスト1】：これは出走する。
【ファンファーレ】場の他のウマ娘・カードを好きな枚数手札に戻す：相手のフォロワーすべてに「戻した枚数」の2倍のダメージ。（手札に戻ったトークンはゲームから取り除く）"
CP01-004,ゴールドシチー,エルフ,フォロワー,ウマ娘,4,3,3,"【食事】【コスト1】：これは出走する。
お互いの場のカードが8枚以上ある限り、これは【疾走】を持つ。
【ファンファーレ】自分のPPを3回復する。"
CP01-005,はやい！うまい！はやい！,エルフ,スペル,ウマ娘,2,-,-,下記から1つチョイスする。【1】自分のデッキから【疾走】を持つフォロワー1枚を探し、手札に加える。【2】【疾走】を持つ自分のフォロワー1体を選ぶ。それは【攻撃力】+3する。
CP01-006,シンコウウインディ,エルフ,フォロワー,ウマ娘,1,2,1,"【食事】【コスト1】：これは出走する。
【ファンファーレ】自分のデッキの上1枚を見る。それをデッキの下に置いてよい。"
CP01-007,エイシンフラッシュ,エルフ,フォロワー,ウマ娘,3,3,3,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。相手のフォロワー1体まで選ぶ。それを手札に戻す。（手札に戻ったトークンはゲームから取り除く）"
CP01-008,鍛えぬくトモ,エルフ,アミュレット,ウマ娘,2,-,-,"これが場を離れたとき、自分のウマ娘・フォロワー1体を選ぶ。それは【攻撃力】+1/【体力】+1する。
【ファンファーレ】1枚引く。"
CP01-009,マーベラスサンデー,エルフ,フォロワー,ウマ娘,2,2,3,"【食事】【コスト1】：これは出走する。
【ファンファーレ】場の他のカード1枚を手札に戻す：自分のリーダーは【体力】+2する。（手札に戻ったトークンはゲームから取り除く）"
CP01-010,ユキノビジン,エルフ,フォロワー,ウマ娘,3,3,3,"【食事】【コスト1】：これは出走する。
【守護】
【ファンファーレ】場の他のカード1枚を手札に戻す：これは【攻撃力】+1/【体力】+1する。（手札に戻ったトークンはゲームから取り除く）"
CP01-011,アイネスフウジン,エルフ,フォロワー,ウマ娘,6,7,7,"【食事】【コスト1】：これは出走する。
【突進】【指定攻撃】
【ファンファーレ】自分の他のカード1枚を選ぶ。それを手札に戻す。（手札に戻ったトークンはゲームから取り除く）"
CP01-012,タイキシャトル,エルフ,フォロワー,ウマ娘,2,2,3,"【食事】【コスト1】：これは出走する。
これが場から手札に戻ったとき、相手のフォロワー1体を選ぶ。それに2ダメージ。"
CP01-013,ハルウララ,エルフ,フォロワー,ウマ娘,2,2,2,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。このターン、これはダメージを受けない。"
CP01-014,トウカイテイオー,ロイヤル,フォロワー,ウマ娘,5,4,4,"【進化】【コスト2】：これは進化する。
【食事】【コスト1】：これは出走する。
【ファンファーレ】相手のフォロワー1体を選ぶ。それに「自分の場のフォロワーの数」の2倍のダメージ。"
CP01-015,トウカイテイオー,ロイヤル,フォロワー・エボルヴ,ウマ娘,-,5,5,【疾走】
CP01-016,ナリタブライアン,ロイヤル,フォロワー,ウマ娘,8,6,8,"【食事】【コスト1】：これは出走する。
【必殺】【守護】【オーラ】
【起動】これを【アクト】：相手のリーダー1人か相手のフォロワー1体を選ぶ。それに5ダメージ。"
CP01-017,ウイニングチケット,ロイヤル,フォロワー,ウマ娘・BNW,3,2,2,"【食事】【コスト1】：これは出走する。
【疾走】
【ファンファーレ】自分の墓場に『検証、開始』と『ナリタタイシン』があるなら、これは【攻撃力】+3/【体力】+1する。"
