card_code,name,class,card_type,sub_type,cost,attack,hp,effect
CSD01-001,サイレンススズカ,エルフ,フォロワー,ウマ娘,4,4,1,"【進化】【コスト2】：これは進化する。
【食事】【コスト1】：これは出走する。
【疾走】（【疾走】を持つフォロワーは、場に出たターンから攻撃できる）"
CSD01-002,サイレンススズカ,エルフ,フォロワー・エボルヴ,ウマ娘,-,5,2,"【疾走】
【進化時】相手のフォロワー1体を選ぶ。それをデッキの上に置く。（デッキに置いたトークンはゲームから取り除く）"
CSD01-003,トウカイテイオー,ロイヤル,フォロワー,ウマ娘,5,4,4,"【進化】【コスト2】：これは進化する。
【食事】【コスト1】：これは出走する。
【ファンファーレ】相手のフォロワー1体を選ぶ。それに「自分の場のフォロワーの数」の2倍のダメージ。"
CSD01-004,トウカイテイオー,ロイヤル,フォロワー・エボルヴ,ウマ娘,-,5,5,【疾走】（【疾走】を持つフォロワーは、場に出たターンから攻撃できる）
CSD01-005,スペシャルウィーク,ドラゴン,フォロワー,ウマ娘,2,2,2,"【進化】【コスト1】：これは進化する。
【食事】【コスト1】：これは出走する。
【ファンファーレ】自分のデッキの上1枚を見る。その中から、ウマ娘・カード1枚を公開して手札に加えてよい。"
CSD01-006,スペシャルウィーク,ドラゴン,フォロワー・エボルヴ,ウマ娘,-,3,3,【進化時】【覚醒】状態なら、自分の他のウマ娘・フォロワーすべては【攻撃力】+1/【体力】+1する。（自分のPP最大値が7以上なら、【覚醒】状態になる）
CSD01-007,〔ようこそ、トレセン学園へ！〕駿川たづな,ニュートラル,フォロワー,トレセン学園,6,3,5,"【守護】（これが場に出たときか、自分のエンドフェイズにこれをアクトできる。相手は、アクト状態の【守護】を持つフォロワー以外を攻撃できない）
【ファンファーレ】自分の墓場のコスト4以下の「ウマ娘・フォロワーかウマ娘・アミュレット」1枚を選ぶ。それを場に出す。"
CSD01-008,エイシンフラッシュ,エルフ,フォロワー,ウマ娘,3,3,3,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。相手のフォロワー1体まで選ぶ。それを手札に戻す。（手札に戻ったトークンはゲームから取り除く）"
CSD01-009,検証、開始,ロイヤル,スペル,ウマ娘・BNW,1,-,-,下記から1つチョイスする。【1】自分のデッキの上2枚を見る。その中から、ウマ娘・カード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。【2】自分の墓場のBNW・フォロワー1枚を選ぶ。それを手札に加える。
CSD01-010,見習い魔女と長い夜,ウィッチ,スペル,ウマ娘,1,-,-,相手のフォロワー1体を選ぶ。それに2ダメージ。自分の場に出走したフォロワーがいるなら、代わりに3ダメージ。
CSD01-011,タマモクロス,ドラゴン,フォロワー,ウマ娘,2,2,1,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。相手のフォロワー1体まで選ぶ。それに2ダメージ。"
CSD01-012,雨の独奏、私の独創,ナイトメア,スペル,ウマ娘,4,-,-,"これをプレイする際、自分の墓場のウマ娘・カードが10枚以上なら、コストを-2する。
相手のフォロワー1体を選ぶ。それを破壊する。"
CSD01-013,運の行方,ビショップ,アミュレット,ウマ娘,4,-,-,"【ファンファーレ】相手のフォロワー1体を選ぶ。それを破壊する。
【起動】これを【アクト】墓場に置く：自分のデッキの上1枚を見る。その中から、コスト7のカード1枚を公開して手札に加えてよい。"
CSD01-014,マーベラスサンデー,エルフ,フォロワー,ウマ娘,2,2,3,"【食事】【コスト1】：これは出走する。
【ファンファーレ】場の他のカード1枚を手札に戻す：自分のリーダーは【体力】+2する。（手札に戻ったトークンはゲームから取り除く）"
CSD01-015,ハルウララ,エルフ,フォロワー,ウマ娘,2,2,2,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。このターン、これはダメージを受けない。"
CSD01-016,ナリタタイシン,ロイヤル,フォロワー,ウマ娘・BNW,2,3,2,"【食事】【コスト1】：これは出走する。
【突進】（【突進】を持つフォロワーは、場に出たターンから相手のフォロワーを攻撃できる）"
