card_code,name,class,card_type,sub_type,cost,attack,hp,effect
CSD02a-001,〔P.C.S〕島村卯月,ロイヤル,フォロワー,デレマス・キュート,7,4,4,"【ファンファーレ】自分の墓場の元のコスト4以下のキュート・フォロワーと元のコスト2以下のキュート・フォロワーそれぞれ1枚まで選ぶ。それを場に出す。それは【攻撃力】+1/【体力】+1する。
【起動】【レッスン_1】：自分のリーダーは【体力】+3する。この能力は1ターンに1回使える。"
CSD02a-002,〔P.C.S〕五十嵐響子,ロイヤル,フォロワー,デレマス・キュート,4,4,4,"【守護】
【ファンファーレ】相手の場のフォロワー1体を選ぶ。それは【攻撃力】-X/【体力】-Xする。Xは「自分の場のキュート・フォロワーの数」である。
【起動】【レッスン_1】：相手の場のフォロワー1体を選ぶ。それは【攻撃力】-1/【体力】-1する。この能力は1ターンに1回使える。"
CSD02a-003,〔P.C.S〕小日向美穂,ロイヤル,フォロワー,デレマス・キュート,2,2,2,"自分の場にキュート・フォロワーが3体以上いる限り、これは【突進】を持つ。
【ファンファーレ】自分のデッキの上1枚を見る。その中から、キュート・カード1枚を公開して手札に加えてよい。"
CSD02a-004,横山千佳,ウィッチ,フォロワー,デレマス・キュート,1,2,2,【ファンファーレ】自分の墓場のキュート・カードが5枚以上なら、これは【攻撃力】+1/【体力】+2して、【守護】を持つ。
CSD02a-005,櫻井桃華,エルフ,フォロワー,デレマス・キュート,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】【コスト2】【レッスン_1】：これは【攻撃力】+1/【体力】+1する。（【レッスン_1】とは、自分のEXエリアの『魔法のアイテム』1枚を消滅させること）"
CSD02a-006,櫻井桃華,エルフ,フォロワー・エボルヴ,デレマス・キュート,-,3,3,【進化時】自分のデッキの上3枚を見る。その中から、キュート・カード1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
CSD02a-007,池袋晶葉,ウィッチ,フォロワー,デレマス・キュート,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分の場の他のキュート・フォロワー1体を選ぶ。それは【体力】+1する。"
CSD02a-008,池袋晶葉,ウィッチ,フォロワー・エボルヴ,デレマス・キュート,-,4,4,【進化時】手札のキュート・カード1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに3ダメージ。1枚引く。
CSD02a-009,栗原ネネ,ドラゴン,フォロワー,デレマス・キュート,5,3,4,"【進化】【コスト1】：これは進化する。
【守護】
【ファンファーレ】相手の場のフォロワー1体を選ぶ。それに3ダメージ。"
CSD02a-010,栗原ネネ,ドラゴン,フォロワー・エボルヴ,デレマス・キュート,-,4,5,"【守護】
【進化時】【コスト3】：自分の墓場のキュート・フォロワー1枚を選ぶ。それを場に出す。"
CSD02a-011,道明寺歌鈴,ビショップ,フォロワー,デレマス・キュート,3,3,3,"【守護】（これが場に出たときか、自分のエンドフェイズにこれをアクトできる。相手は、アクト状態の【守護】を持つフォロワー以外を攻撃できない）
【ファンファーレ】手札のキュート・カード1枚を捨てる：これは【体力】+2する。1枚引く。"
CSD02a-012,今井加奈,エルフ,フォロワー,デレマス・キュート,2,2,2,【進化】【コスト1】：これは進化する。
CSD02a-013,今井加奈,エルフ,フォロワー・エボルヴ,デレマス・キュート,-,3,3,【進化時】自分のデッキの上1枚を見る。その中から、1枚を公開して手札に加えてよい。キュート・カードを公開したなら、自分のリーダーは【体力】+2する。
