card_code,name,class,card_type,sub_type,cost,attack,hp,effect
CSD02c-001,〔ポジティブパッション〕本田未央,ロイヤル,フォロワー,デレマス・パッション,6,5,5,"【突進】
【ファンファーレ】自分のデッキの上2枚を見る。その中から、パッション・フォロワー1枚を場に出してよい。残りを墓場に置く。
【起動】【コスト2】【レッスン_2】：自分のデッキの上2枚を見る。その中から、パッション・フォロワー1枚を場に出してよい。残りを墓場に置く。"
CSD02c-002,〔てづくりのしあわせ〕高森藍子,エルフ,フォロワー,デレマス・パッション,4,4,4,【起動】場のパッション・フォロワー3体を【アクト】：自分の手札のパッション・フォロワー1枚を場に出してよい。それは「自分のエンドフェイズが来たとき、これを手札に戻す」を持つ。
CSD02c-003,〔ポジティブパッション〕日野茜,ビショップ,フォロワー,デレマス・パッション,8,7,7,"【疾走】
【ファンファーレ】【レッスン_3】手札のパッション・カード2枚を捨てる：相手の場のフォロワーすべてに6ダメージ。2枚引く。"
CSD02c-004,龍崎薫,ドラゴン,フォロワー,デレマス・パッション,1,2,2,【起動】【コスト2】：自分の墓場のパッション・カードが5枚以上なら、自分の墓場のフォロワー1枚を選ぶ。それを手札に加える。この能力は1ターンに1回使える。
CSD02c-005,上田鈴帆,エルフ,フォロワー,デレマス・パッション,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分のデッキの上1枚を見る。"
CSD02c-006,上田鈴帆,エルフ,フォロワー・エボルヴ,デレマス・パッション,-,4,4,【進化時】相手の場のフォロワー1体を選ぶ。自分のデッキの上1枚を公開する。それに「公開したカードの元のコスト」と同じダメージ。
CSD02c-007,赤城みりあ,ロイヤル,フォロワー,デレマス・パッション,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】【コスト2】【レッスン_1】：これは【攻撃力】+1/【体力】+1する。（【レッスン_1】とは、自分のEXエリアの『魔法のアイテム』1枚を消滅させること）"
CSD02c-008,赤城みりあ,ロイヤル,フォロワー・エボルヴ,デレマス・パッション,-,3,3,【進化時】手札のパッション・カード1枚を捨てる：2枚引く。
CSD02c-009,矢口美羽,ロイヤル,フォロワー,デレマス・パッション,3,2,4,"【守護】
【ファンファーレ】自分のデッキの上1枚を墓場に置く。元のコストが奇数のカードを墓場に置いたなら、1枚引く。元のコストが偶数のカードを墓場に置いたなら、自分のリーダーは【体力】+2する。"
CSD02c-010,松山久美子,ロイヤル,フォロワー,デレマス・パッション,4,4,4,【進化】【コスト1】：これは進化する。
CSD02c-011,松山久美子,ロイヤル,フォロワー・エボルヴ,デレマス・パッション,-,5,5,【進化時】自分の墓場の元のコスト3以下のパッション・フォロワー1枚を選ぶ。それを場に出す。
CSD02c-012,諸星きらり,ロイヤル,フォロワー,デレマス・パッション,9,9,9,"これをプレイする際、自分の場に元のコスト1のフォロワーがいるなら、コストを-3する。
【守護】（これが場に出たときか、自分のエンドフェイズにこれをアクトできる。相手は、アクト状態の【守護】を持つフォロワー以外を攻撃できない）
【ファンファーレ】自分の場のフォロワーすべてをスタンドする。"
CSD02c-013,財前時子,ドラゴン,フォロワー,デレマス・パッション,3,4,3,【ファンファーレ】相手のリーダーすべてに「自分の場の他のデレマス・フォロワーの数」と同じダメージ。
CSD02c-014,星輝子,ナイトメア,フォロワー,デレマス・パッション,2,3,2,"【進化】【コスト1】：これは進化する。
これは相手を攻撃できない。
自分のエンドフェイズが来たとき、自分のリーダーは【体力】+1する。"
CSD02c-015,星輝子,ナイトメア,フォロワー・エボルヴ,デレマス・パッション,-,3,2,"自分のエンドフェイズが来たとき、相手のリーダーすべてに1ダメージ。
【ラストワード】相手のリーダーすべてに1ダメージ。"
CSD02c-016,ナターリア,ビショップ,フォロワー,デレマス・パッション,2,1,3,"【疾走】（【疾走】を持つフォロワーは、場に出たターンから攻撃できる）
【ファンファーレ】相手の場のフォロワー1体を選ぶ。それに「自分の場の他のパッション・フォロワーの数」と同じダメージ。"
CSD02c-017,及川雫,ビショップ,フォロワー,デレマス・パッション,3,2,5,【ファンファーレ】自分のリーダーは【体力】+2する。自分の墓場のパッション・カードが5枚以上なら、代わりに【体力】+4する。
CSD02c-018,片桐早苗,ビショップ,フォロワー,デレマス・パッション,7,7,7,"【突進】【守護】（【突進】を持つフォロワーは、場に出たターンから相手のフォロワーを攻撃できる）
これが受ける4以上のダメージを3にする。"
CSD02c-LD01,〔ステージオブマジック〕本田未央,ロイヤル,リーダー,-,-,-,-,
CSD02c-LDⓈ01,〔ステージオブマジック〕本田未央,ロイヤル,リーダー,-,-,-,-,
CSD02c-P01,龍崎薫,ドラゴン,フォロワー,デレマス・パッション,1,2,2,【起動】【コスト2】：自分の墓場のパッション・カードが5枚以上なら、自分の墓場のフォロワー1枚を選ぶ。それを手札に加える。この能力は1ターンに1回使える。
CSD02c-P02,上田鈴帆,エルフ,フォロワー,デレマス・パッション,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分のデッキの上1枚を見る。"
CSD02c-P03,上田鈴帆,エルフ,フォロワー・エボルヴ,デレマス・パッション,-,4,4,【進化時】相手の場のフォロワー1体を選ぶ。自分のデッキの上1枚を公開する。それに「公開したカードの元のコスト」と同じダメージ。
CSD02c-P04,赤城みりあ,ロイヤル,フォロワー,デレマス・パッション,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】【コスト2】【レッスン_1】：これは【攻撃力】+1/【体力】+1する。（【レッスン_1】とは、自分のEXエリアの『魔法のアイテム』1枚を消滅させること）"
CSD02c-P05,赤城みりあ,ロイヤル,フォロワー・エボルヴ,デレマス・パッション,-,3,3,【進化時】手札のパッション・カード1枚を捨てる：2枚引く。
CSD02c-P06,矢口美羽,ロイヤル,フォロワー,デレマス・パッション,3,2,4,"【守護】
【ファンファーレ】自分のデッキの上1枚を墓場に置く。元のコストが奇数のカードを墓場に置いたなら、1枚引く。元のコストが偶数のカードを墓場に置いたなら、自分のリーダーは【体力】+2する。"
CSD02c-P07,松山久美子,ロイヤル,フォロワー,デレマス・パッション,4,4,4,【進化】【コスト1】：これは進化する。
CSD02c-P08,松山久美子,ロイヤル,フォロワー・エボルヴ,デレマス・パッション,-,5,5,【進化時】自分の墓場の元のコスト3以下のパッション・フォロワー1枚を選ぶ。それを場に出す。
CSD02c-SL01,〔ポジティブパッション〕本田未央,ロイヤル,フォロワー,デレマス・パッション,6,5,5,"【突進】
【ファンファーレ】自分のデッキの上2枚を見る。その中から、パッション・フォロワー1枚を場に出してよい。残りを墓場に置く。
【起動】【コスト2】【レッスン_2】：自分のデッキの上2枚を見る。その中から、パッション・フォロワー1枚を場に出してよい。残りを墓場に置く。"
CSD02c-SL02,〔てづくりのしあわせ〕高森藍子,エルフ,フォロワー,デレマス・パッション,4,4,4,【起動】場のパッション・フォロワー3体を【アクト】：自分の手札のパッション・フォロワー1枚を場に出してよい。それは「自分のエンドフェイズが来たとき、これを手札に戻す」を持つ。
CSD02c-SL03,〔ポジティブパッション〕日野茜,ビショップ,フォロワー,デレマス・パッション,8,7,7,"【疾走】
【ファンファーレ】【レッスン_3】手札のパッション・カード2枚を捨てる：相手の場のフォロワーすべてに6ダメージ。2枚引く。"
CSD02c-T01,パッションイヤリング,ニュートラル,スペル・トークン,デレマス,4,-,-,"自分のリーダーは【体力】+1する。1枚引く。
----------
（※バトル開始時、自分のデッキ構築が「アイドルマスター シンデレラガールズ」タイトル構築なら、『魔法のアイテム』5枚をEXエリアに置く）"
