card_code,name,class,card_type,sub_type,cost,attack,hp,effect
CSD03b-001,ドラゴニック・オーバーロード,ドラゴン,フォロワー,ヴァンガード・かげろう,4,4,4,"【進化】【コスト1】：これは進化する。
【ツインドライブ】
【覚醒】状態であり、自分の場に他のかげろう・フォロワーがいる限り、これは【疾走】を持つ。（【疾走】を持つフォロワーは、場に出たターンから攻撃できる）"
CSD03b-002,ドラゴニック・オーバーロード,ドラゴン,フォロワー・エボルヴ,ヴァンガード・かげろう,-,5,5,"【ツインドライブ】
【覚醒】状態であり、自分の場に他のかげろう・フォロワーがいる限り、これは【疾走】を持つ。
【進化時】相手の場のフォロワー1体を選ぶ。それに5ダメージ。【覚醒】状態なら、このターン、これは「これが交戦ダメージを与えたとき、これをスタンドする。この能力は1ターンに1回働く」を持つ。"
CSD03b-003,ドラゴンモンク ゴクウ,ドラゴン,フォロワー,ヴァンガード・かげろう,6,5,5,"【守護】
【起動】これを【アクト】墓場のかげろう・カード4枚を消滅：相手のリーダーすべてと相手の場のフォロワーすべてに4ダメージ。"
CSD03b-004,ドラゴンナイト アリフ,ドラゴン,フォロワー,ヴァンガード・かげろう,3,3,3,"【進化】【コスト1】：これは『勝利の化身 アリフ』に進化する。
【ファンファーレ】自分の墓場に『鎧の化身 バー』と『槍の化身 ター』があるなら、これは『勝利の化身 アリフ』に進化する。"
CSD03b-005,勝利の化身 アリフ,ドラゴン,フォロワー・エボルヴ,ヴァンガード・かげろう,-,4,4,"【ツインドライブ】（【ツインドライブ】を持つフォロワーは、攻撃したとき、ドライブチェックを2回する）
【進化時】自分のデッキの上3枚を見る。その中から、「『ドラゴンナイト アリフ』を除くかげろう・フォロワー」1枚をEXエリアに置いてよい。残りを好きな順にデッキの下に置く。このターン、それをプレイする際、コストを-3する。"
CSD03b-006,バーサーク・ドラゴン,ドラゴン,フォロワー,ヴァンガード・かげろう,3,3,3,"【憑依】【コスト1】：これはドライブを持つ。
【ドライブ獲得時】相手の場のフォロワー1体まで選ぶ。それに3ダメージ。これは【攻撃力】+1/【体力】+1する。
【ファンファーレ】手札のかげろう・カード1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに2ダメージ。"
CSD03b-007,ワイバーンガード バリィ,ドラゴン,スペル,ヴァンガード・かげろう,1,-,-,下記から1つチョイスする。【1】相手の場のフォロワー1体を選ぶ。それに2ダメージ。【2】手札のかげろう・カード1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに3ダメージ。それのリーダーに1ダメージ。
CSD03b-008,ドラゴンナイト ネハーレン,ドラゴン,フォロワー,ヴァンガード・かげろう,2,2,2,"【憑依】【コスト1】：これはドライブを持つ。
【ドライブ獲得時】相手の場のフォロワー1体まで選ぶ。それに2ダメージ。これは【攻撃力】+1/【体力】+1する。
【攻撃時】相手のリーダーすべてに1ダメージ。"
CSD03b-009,鎧の化身 バー,ドラゴン,フォロワー,ヴァンガード・かげろう,3,3,4,"【守護】（これが場に出たときか、自分のエンドフェイズにこれをアクトできる。相手は、アクト状態の【守護】を持つフォロワー以外を攻撃できない）
【ファンファーレ】1枚引く。"
CSD03b-010,連撃のサザーランド,ドラゴン,フォロワー,ヴァンガード・かげろう,3,2,2,"【ファンファーレ】自分の場のヴァンガード・フォロワー1体を選ぶ。それは【攻撃力】+3する。
【起動】これを【アクト】墓場に置く：相手の場のフォロワー1体を選ぶ。それに「これの攻撃力」と同じダメージ。"
