card_code,name,class,card_type,sub_type,cost,attack,hp,effect
DSD01a-001,マナリアの魔導姫・アン,ウィッチ,フォロワー,魔法使い・学院・プリンセス,6,5,5,"【ファンファーレ】下記から1つチョイスする。自分の墓場の学院・カードが10枚以上なら、代わりに2つまで。
【1】自分のデッキから『アンの大魔法』1枚を探し、EXエリアに置く。このターン、次に自分が『アンの大魔法』をプレイする際、コストを-5する。【2】自分のデッキから『マナリアの竜姫・グレア』1枚を探し、場に出す。"
DSD01a-002,マナリアの竜姫・グレア,ウィッチ,フォロワー,魔法使い・学院・プリンセス,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】相手の場のフォロワー1体を選ぶ。自分の墓場の学院・カードが10枚以上なら、それに4ダメージ。それのリーダーに1ダメージ。"
DSD01a-003,マナリアの竜姫・グレア,ウィッチ,フォロワー・エボルヴ,魔法使い・学院・プリンセス,-,4,4,"これが場にいる限り、自分の学院・スペルが与えるダメージを+1する。
【進化時】自分のデッキから『グレアの炎熱』1枚を探し、EXエリアに置く。このターン、次に自分が『グレアの炎熱』をプレイする際、コストを-1する。"
DSD01a-004,魔術の始祖・マナリア,ウィッチ,フォロワー,魔法使い・学院,3,2,4,"【進化】【コスト1】：これは進化する。
これが場にいる限り、自分が学院・フォロワーをプレイする際、コストを-1する。
【ファンファーレ】手札の学院・フォロワー1枚を公開：相手の場のフォロワー1体を選ぶ。それに2ダメージ。"
DSD01a-005,魔術の始祖・マナリア,ウィッチ,フォロワー・エボルヴ,魔法使い・学院,-,3,5,"これが場にいる限り、自分が学院・フォロワーをプレイする際、コストを-1する。
【進化時】相手の場のフォロワー1体を選ぶ。それに3ダメージ。"
DSD01a-006,マナリアナイト・オーウェン,ウィッチ,フォロワー,魔法使い・学院,2,3,2,"【突進】（【突進】を持つフォロワーは、場に出たターンから相手のフォロワーを攻撃できる）
【攻撃時】『マナリアの魔弾』1枚をEXエリアに置く。
【ファンファーレ】自分の墓場の学院・カードが5枚以上なら、これは【攻撃力】+1/【体力】+1して、【指定攻撃】を持つ。"
DSD01a-007,星読みの魔女・ステラ,ウィッチ,フォロワー,魔法使い・星神,3,3,3,"【攻撃時】自分のデッキの上1枚を見る。それを墓場に置いてよい。
【ファンファーレ】自分のデッキの上4枚を見る。その中から、1枚を手札に加える。1枚を墓場に置く。1枚をデッキの上に置く。1枚をデッキの下に置く。"
DSD01a-008,アンの大魔法,ウィッチ,スペル,魔法使い・学院・プリンセス,5,-,-,下記から1つチョイスする。【1】相手のリーダー1人か相手の場のフォロワー1体を選ぶ。それに4ダメージ。1枚引く。【2】【コスト3】：相手のリーダー1人か相手の場のフォロワー1体を選ぶ。自分の墓場の学院・カードが10枚以上なら、それに8ダメージ。2枚引く。
DSD01a-009,グレアの炎熱,ウィッチ,スペル,魔法使い・学院・プリンセス,1,-,-,相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分の墓場の学院・カードが5枚以上なら、代わりに3ダメージ。
DSD01a-010,マナリアの召喚士・ベリル,ウィッチ,フォロワー,魔法使い・魔法生物・学院,4,2,2,【進化】【コスト1】：これは進化する。
DSD01a-011,マナリアの召喚士・ベリル,ウィッチ,フォロワー・エボルヴ,魔法使い・魔法生物・学院,-,3,3,【進化時】自分のデッキの上5枚を見る。その中から、元のコスト2以下の学院・カード2枚までEXエリアに置いてよい。残りを好きな順にデッキの下に置く。このターン、それをプレイする際、コストを-2する。
DSD01a-012,マナリアの見習い教師・パスカル,ウィッチ,フォロワー,魔法使い・学院,3,3,3,【ファンファーレ】1枚引く。自分の墓場の学院・カードが5枚以上なら、自分のPPを1回復する。
DSD01a-013,学院の新入生・ルゥ,ウィッチ,フォロワー,魔法使い・学院,2,1,2,【ファンファーレ】自分のデッキから元のコスト1のスペル1枚を探し、手札に加える。
DSD01a-014,マナリアの知識,ウィッチ,スペル,魔法使い・学院,1,-,-,"これをプレイする際、追加コストとして手札の学院・カード2枚を公開する。（追加コストを支払わなければプレイできない）
1枚引く。『マナリアの魔弾』1枚をEXエリアに置く。
―――――――――――――――
『マナリアの魔弾』【ウィッチ】魔法使い・学院・スペル【コスト2】相手の場のフォロワー1体を選ぶ。それに3ダメージ。自分の墓場の学院・カードが10枚以上なら、それのリーダーに2ダメージ。"
DSD01a-015,術式の教師・ジル,ウィッチ,フォロワー,魔法使い・学院,1,1,2,"【ファンファーレ】下記から1つチョイスする。【1】『マナリアの魔弾』1枚をEXエリアに置く。【2】自分の墓場の学院・スペル1枚を選ぶ。自分の墓場の学院・カードが5枚以上なら、それを手札に加える。
―――――――――――――――
『マナリアの魔弾』【ウィッチ】魔法使い・学院・スペル【コスト2】相手の場のフォロワー1体を選ぶ。それに3ダメージ。自分の墓場の学院・カードが10枚以上なら、それのリーダーに2ダメージ。"
DSD01a-016,マナリアウィザード・クレイグ,ウィッチ,フォロワー,魔法使い・学院,2,2,1,"【進化】【コスト1】：これは進化する。
【ファンファーレ】1枚引く。自分の手札1枚を捨てる。"
DSD01a-017,マナリアウィザード・クレイグ,ウィッチ,フォロワー・エボルヴ,魔法使い・学院,-,3,2,【進化時】1枚引く。自分の手札1枚を捨てる。
DSD01a-018,マナリアライター・ティコ,ウィッチ,フォロワー,魔法使い・学院,2,2,3,"【守護】（これが場に出たときか、自分のエンドフェイズにこれをアクトできる。相手は、アクト状態の【守護】を持つフォロワー以外を攻撃できない）
【ラストワード】自分のデッキの上1枚を見る。その中から、学院・カード1枚を公開して手札に加えてよい。"
