card_code,name,class,card_type,sub_type,cost,attack,hp,effect
EBD02-001,真理の大文豪・ユキシマ,ウィッチ,フォロワー,宴楽・魔法使い・禁忌,4,3,5,"自分が元のコスト3以下の宴楽・カードか元のコスト3以下の魔法使い・カードをプレイしたとき、相手の場のフォロワー1体を選ぶ。それに2ダメージ。
【ファンファーレ】このターン、次に自分が元のコスト3以下の宴楽・カードか元のコスト3以下の魔法使い・カードをプレイする際、コストを-3する。"
EBD02-002,インフィニットウィッチ・ドロシー,ウィッチ,フォロワー,魔法使い,3,3,3,"【ファンファーレ】自分のデッキの上3枚を見る。その中から、魔法使い・フォロワーと魔法使い・スペルそれぞれ1枚まで公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
【起動】これを【アクト】：自分の手札の【ウィッチ】スペル1枚をEXエリアに置いてよい。このターン、それをプレイする際、コストを-3する。この能力は自分の墓場の魔法使い・フォロワーが5枚以上なら使える。"
EBD02-003,あどけない飛沫・プリス,ウィッチ,フォロワー,魔法使い・学院,6,4,5,"自分が魔法使い・カードをプレイしたとき、相手の場のフォロワー1体を選ぶ。それに2ダメージ。
【ファンファーレ】自分のデッキの上5枚を見る。その中から、元のコスト3以下の魔法使い・フォロワーと元のコスト3以下の魔法使い・スペルそれぞれ1枚までEXエリアに置いてよい。残りを好きな順にデッキの下に置く。このターン、それをプレイする際、コストを-3する。"
EBD02-004,マーリン,ウィッチ,フォロワー,魔法使い,3,3,2,"【進化】【コスト2】：これは進化する。
【ファンファーレ】自分のデッキからスペル1枚を探し、手札に加える。"
EBD02-005,マーリン,ウィッチ,フォロワー・エボルヴ,魔法使い,-,4,3,【進化時】自分の墓場の元のコスト3以下のスペル1枚を選ぶ。それのコストを0にしてプレイする。
EBD02-006,一世の探究,ウィッチ,スペル,宴楽・魔法使い・禁忌,3,-,-,自分のデッキの上4枚を見る。その中から、2枚を公開して手札に加える。残りを墓場に置く。自分の場に『真理の大文豪・ユキシマ』がいるなら、自分のPPを1回復する。
EBD02-007,次元の超越,ウィッチ,スペル,魔法使い,12,-,-,"これをプレイする際、墓場のスペル10枚を消滅：コストを7にする。
このターンのあと、自分の追加ターンを行う。"
EBD02-008,グリモアソーサラー,ウィッチ,フォロワー,魔法使い・禁忌,2,2,2,【進化】【コスト1】：これは進化する。
EBD02-009,グリモアソーサラー,ウィッチ,フォロワー・エボルヴ,魔法使い・禁忌,-,3,3,【進化時】自分の手札の魔法使い・スペル1枚をEXエリアに置いてよい。このターン、それをプレイする際、コストを-3する。
EBD02-010,カオスウィザード,ウィッチ,フォロワー,魔法使い・禁忌,2,1,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】【スペルチェイン_5】自分のPPを2回復する。（自分の墓場のスペルが5枚以上なら、【スペルチェイン_5】の後の能力が働く）"
EBD02-011,カオスウィザード,ウィッチ,フォロワー・エボルヴ,魔法使い・禁忌,-,2,3,【進化時】相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分の墓場の魔法使い・フォロワーが5枚以上なら、1枚引く。
EBD02-012,グランドブレイク,ウィッチ,スペル,魔法使い,1,-,-,相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分の場の魔法使い・フォロワーが2体以上なら、代わりに4ダメージ。それのリーダーに1ダメージ。
EBD02-013,真実の宣告,ウィッチ,スペル,絶傑・魔法使い,3,-,-,"下記から1つチョイスする。自分の場の魔法使い・フォロワーが2体以上なら、代わりに2つまで。
【1】2枚引く。【2】相手のリーダーすべてに3ダメージ。【3】相手の場のフォロワー1体を選ぶ。それに3ダメージ。"
EBD02-014,精神統一,ウィッチ,スペル,魔法使い,3,-,-,自分のリーダーは【体力】+3する。1枚引く。【土の秘術】代わりに2枚。
EBD02-015,ファイアーチェイン,ウィッチ,スペル,魔法使い,2,-,-,相手の場のフォロワー2体まで選ぶ。それに3ダメージを割りふる。
EBD02-016,水晶の魔剣士,ウィッチ,フォロワー,魔法使い,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】1枚引く。自分の手札1枚を捨てる。"
EBD02-017,水晶の魔剣士,ウィッチ,フォロワー・エボルヴ,魔法使い,-,4,4,【進化時】自分の手札の【ウィッチ】スペル1枚をEXエリアに置いてよい。このターン、それをプレイする際、コストを-3する。
EBD02-018,獣面の魔術師,ウィッチ,フォロワー,魔法使い・獣,1,2,2,"【ラストワード】『大地の魔片』1つを出す。
【起動】これを【アクト】【土の秘術】：相手の場のフォロワー1体を選ぶ。それに2ダメージ。
―――――――――――――――
『大地の魔片』【ウィッチ】土の印・アミュレット【コスト1】【スタック】"
EBD02-019,連鎖する雷,ウィッチ,スペル,魔法使い,3,-,-,"自分のエンドフェイズが来たとき、自分のEXエリアのこれを墓場に置く。
----------
相手のリーダーすべてに4ダメージ。自分の場の魔法使い・フォロワーが2体以上なら、これをEXエリアに置く。"
EBD02-020,アブソーブスペル,ウィッチ,スペル,魔法使い,2,-,-,相手の場のフォロワー1体を選ぶ。それに4ダメージ。自分の場の魔法使い・フォロワーが2体以上なら、自分のリーダーは【体力】+2する。
EBD02-LD01,歪原火織,ウィッチ,リーダー,-,-,-,-,
EBD02-T01,大地の魔片,ウィッチ,アミュレット・トークン,土の印,1,-,-,【スタック】（【スタック】を持つアミュレットは、下記の能力を持つ。「これはスタックカウンター1個を置いた状態で場に出る」「これが場を離れる際、代わりにこれのスタックカウンター1個を取る」「これのスタックカウンターが0個なら、これを墓場に置く」「【起動】これを【アクト】：自分の場の他の【スタック】を持つアミュレット1つを選ぶ。それにこれのスタックカウンターすべてを移す」）
