card_code,name,class,card_type,sub_type,cost,attack,hp,effect
ECP01-001,ホッコータルマエ,エルフ,フォロワー,ウマ娘,4,2,2,"これをプレイする際、コストを-Xする。Xは「自分の場のウマ娘・カードの枚数」である。
【進化】【コスト1】：これは進化する。
【食事】【コスト1】：これは出走する。"
ECP01-002,ホッコータルマエ,エルフ,フォロワー・エボルヴ,ウマ娘,-,3,3,【進化時】1枚引く。
ECP01-003,サクラローレル,エルフ,フォロワー,ウマ娘,3,2,2,"【食事】【コスト1】：これは出走する。
【ファンファーレ】相手の場のフォロワー1体を選ぶ。自分の場に他のウマ娘・カードがあるなら、それに4ダメージ。
【起動】これを【アクト】：これは【攻撃力】+2/【体力】+2して、【守護】を持つ。自分のリーダーは【体力】+2する。この能力は自分の場のウマ娘・カードが5枚なら使える。"
ECP01-004,サウンズオブアース,エルフ,フォロワー,ウマ娘,9,3,2,"これをプレイする際、コストを-Xする。Xは「自分の場のウマ娘・カードの枚数の2倍」である。
【食事】【コスト1】：これは出走する。
【ファンファーレ】場の「これと同名を除くウマ娘・カード」1枚を手札に戻す：相手の場のフォロワー1体を選ぶ。それに5ダメージ。"
ECP01-005,〔うららか・ぱっしょん♪〕ハルウララ,エルフ,フォロワー,ウマ娘,2,1,1,"【食事】【コスト1】：これは出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。自分のデッキの上5枚を見る。その中から、元のコスト2以下のウマ娘・フォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。"
ECP01-006,ヤマニンゼファー,エルフ,フォロワー,ウマ娘,4,3,4,"【食事】【コスト1】：これは出走する。
【守護】
【ファンファーレ】下記から1つチョイスする。これがウマ娘・カードの能力によって場に出ていたなら、代わりに2つまで。
【1】相手の場のフォロワー1体を選ぶ。それを手札に戻す。（手札に戻ったトークンはゲームから取り除く）【2】自分のデッキから元のコスト2以下のウマ娘・フォロワー1枚を探し、場に出す。"
ECP01-007,サクラバクシンオー,エルフ,フォロワー,ウマ娘,1,1,1,"【食事】【コスト1】：これは出走する。
【疾走】
【攻撃時】自分の場のウマ娘・カードが3枚か4枚なら、1枚引く。自分の手札1枚を捨てる。自分の場のウマ娘・カードが5枚なら、1枚引く。"
ECP01-008,ミホノブルボン,エルフ,フォロワー,ウマ娘,3,3,3,"【食事】【コスト1】：これは出走する。
【食事】【食事】【コスト2】：これは2回出走する。
【食事】【食事】【食事】【コスト3】：これは3回出走する。
【出走時】相手の場のフォロワー1体まで選ぶ。それに3ダメージ。これは【攻撃力】+1/【体力】+1する。"
ECP01-009,世界にもっと☆マーベラス,エルフ,アミュレット,ウマ娘,1,-,-,"【ファンファーレ】自分のデッキの上1枚を見る。その中から、ウマ娘・カード1枚を公開して手札に加えてよい。
【起動】【コスト2】これを【アクト】墓場に置く：自分のリーダーは【体力】+2する。"
ECP01-010,ジェンティルドンナ,ロイヤル,フォロワー,ウマ娘,7,6,6,"【進化】【コスト1】：これは進化する。
【食事】【コスト1】：これは出走する。
これが場にいる限り、相手プレイヤーすべての【ファンファーレ】能力と【進化時】能力は誘発しない。"
ECP01-011,ジェンティルドンナ,ロイヤル,フォロワー・エボルヴ,ウマ娘,-,7,7,"これが場にいる限り、相手プレイヤーすべての【ファンファーレ】能力と【進化時】能力は誘発しない。
【進化時】場の他のフォロワーすべてに7ダメージ。"
ECP01-012,〔Enchaínement〕シンボリルドルフ,ロイヤル,フォロワー,ウマ娘,4,3,3,"【食事】【コスト1】：これは出走する。
【食事】【食事】【コスト2】：これは2回出走する。
【食事】【食事】【食事】【コスト3】：これは3回出走する。
【出走時】これは【攻撃力】+1/【体力】+1する。自分のデッキの上3枚を見る。その中から、元のコスト3以下のウマ娘・フォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。"
ECP01-013,〔Escorte étoile〕シリウスシンボリ,ロイヤル,フォロワー,ウマ娘,2,2,2,"【食事】【コスト1】：これは出走する。
【疾走】【威圧】
【ファンファーレ】自分の場のウマ娘・カードが3枚以上なら、これは【体力】+1して、「【攻撃時】1枚引く。自分の手札1枚を捨てる」を持つ。"
ECP01-014,アストンマーチャン,ロイヤル,フォロワー,ウマ娘,1,1,1,"【食事】【コスト1】：これは出走する。
【出走時】相手の場のフォロワー1体まで選ぶ。それに4ダメージ。これは【攻撃力】+1/【体力】+1する。これに2ダメージ。"
ECP01-015,シンボリクリスエス,ロイヤル,フォロワー,ウマ娘,3,3,3,"【食事】【コスト1】：これは出走する。
【疾走】
【起動】場の他のウマ娘・カード4枚を【アクト】：これは【攻撃力】+5する。"
ECP01-016,タップダンスシチー,ロイヤル,フォロワー,ウマ娘,3,2,3,"【食事】【コスト1】：これは出走する。
【ファンファーレ】自分のデッキから元のコスト1のウマ娘・フォロワー1枚を探し、場に出す。"
ECP01-017,ビワハヤヒデ,ロイヤル,フォロワー,ウマ娘・BNW,5,4,4,"【食事】【コスト1】：これは出走する。
【守護】
【出走時】これは【攻撃力】+1/【体力】+1する。自分のデッキからBNW・カードをカード名が異なるように3枚まで探し、EXエリアに置く。このターン、それをプレイする際、コストを-3する。"
ECP01-018,テイオー･オー･オー！！！,ロイヤル,スペル,ウマ娘,5,-,-,自分のデッキの上7枚を見る。その中から、元のコスト5以下のウマ娘・フォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。それが『トウカイテイオー』なら、自分のデッキの上7枚を見る。その中から、元のコスト4以下のウマ娘・フォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。
ECP01-019,シュヴァルグラン,ウィッチ,フォロワー,ウマ娘,2,2,2,"【進化】【コスト1】：これは進化する。
【食事】【コスト1】：これは出走する。
【ファンファーレ】自分のエボルヴデッキの表向きの『にんじん』1枚を選ぶ。自分の墓場のウマ娘・カードが10枚以上なら、それを裏向きにする。"
ECP01-020,シュヴァルグラン,ウィッチ,フォロワー・エボルヴ,ウマ娘,-,3,3,"自分のターンごとに2回、「このターン中に自分のウマ娘・カードからダメージを受けた相手のフォロワー」が場から墓場に置かれたとき、1枚引く。自分の手札1枚を捨てる。
【進化時】相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分の墓場のウマ娘・カードが10枚以上なら、代わりに4ダメージ。"
ECP01-021,タニノギムレット,ウィッチ,フォロワー,ウマ娘,4,3,3,"【食事】【コスト1】：これは出走する。
【出走時】相手の場のフォロワー1体まで選ぶ。それに4ダメージ。これは【攻撃力】+1/【体力】+1する。
【ファンファーレ】自分のデッキから『ウオッカ』1枚と元のコスト1のウマ娘・スペル1枚を探し、手札に加える。"
ECP01-022,〔桃色のバックショット〕ナリタトップロード,ウィッチ,フォロワー,ウマ娘,5,4,4,"【食事】【コスト1】：これは出走する。
【疾走】
【出走時】これは【攻撃力】+1/【体力】+1する。
【攻撃時】墓場の【疾走】を持つウマ娘・フォロワー3枚を消滅：相手の場のフォロワーすべてに「これの攻撃力」と同じダメージ。"
ECP01-023,ヴィルシーナ,ウィッチ,フォロワー,ウマ娘,4,4,4,"【食事】【コスト1】：これは出走する。
【守護】
自分の場に『シュヴァルグラン』か『ヴィブロス』が出たとき、相手の場のフォロワー1体を選ぶ。それに2ダメージ。
【ファンファーレ】手札のウマ娘・カード1枚を捨てる：相手のリーダーすべてに2ダメージ。自分のリーダーは【体力】+2する。2枚引く。"
ECP01-024,ヴィブロス,ウィッチ,フォロワー,ウマ娘,3,5,2,"これをプレイする際、自分の場に『シュヴァルグラン』か『ヴィルシーナ』がいるなら、コストを-2する。
【食事】【コスト1】：これは出走する。
【突進】【指定攻撃】"
ECP01-025,ダイタクヘリオス,ウィッチ,フォロワー,ウマ娘,2,2,2,"【食事】【コスト1】：これは出走する。
【ファンファーレ】相手の場のフォロワー1体を選ぶ。それに1ダメージ。自分の場に元のコスト4以上のウマ娘・カードがあるなら、代わりに3ダメージ。"
