card_code,name,class,card_type,sub_type,cost,attack,hp,effect
ETD01-001,ナックルドラゴン・ドラグニル,ドラゴン,フォロワー,竜族・武装,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】『ドラゴウェポン』1つを出す。
―――――――――――――――
『ドラゴウェポン』【ドラゴン】武装・アミュレット【コスト1】【起動】これを【アクト】墓場に置く：自分の【ドラゴン】フォロワー1体を選ぶ。それは【体力】+1して、武装・タイプを持つ。"
ETD01-002,ナックルドラゴン・ドラグニル,ドラゴン,フォロワー・エボルヴ,竜族・武装,-,4,4,【進化時】相手のフォロワー1体を選ぶ。それに2ダメージ。自分の場に他の武装・フォロワーがいるなら、代わりに4ダメージ。
ETD01-003,ハンマードラゴニュート,ドラゴン,フォロワー,ドラゴニュート・竜族・武装,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分のデッキの上4枚を見る。その中から、武装・スペル1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。"
ETD01-004,ハンマードラゴニュート,ドラゴン,フォロワー・エボルヴ,ドラゴニュート・竜族・武装,-,3,3,【進化時】相手のリーダーすべてに2ダメージ。
ETD01-005,騎竜兵,ドラゴン,フォロワー,竜使い,5,5,5,【ファンファーレ】自分のデッキの上1枚をEXエリアに置く。それをプレイする際、コストを-2する。
ETD01-006,ドラゴニュートスカラー,ドラゴン,フォロワー,ドラゴニュート,2,2,2,"【威圧】
【攻撃時】1枚引く。自分の手札1枚を捨てる。"
ETD01-007,ドラゴンウォーリア,ドラゴン,フォロワー,竜族,3,3,3,【進化】【コスト1】：これは進化する。
ETD01-008,ドラゴンウォーリア,ドラゴン,フォロワー・エボルヴ,竜族,-,4,4,【進化時】相手のフォロワー1体を選ぶ。それに3ダメージ。
ETD01-009,ドラゴンスマッシュ,ドラゴン,スペル,ドラゴニュート・竜族・武装,2,-,-,"相手のフォロワー1体を選ぶ。それに3ダメージ。『ドラゴウェポン』1つを出す。
―――――――――――――――
『ドラゴウェポン』【ドラゴン】武装・アミュレット【コスト1】【起動】これを【アクト】墓場に置く：自分の【ドラゴン】フォロワー1体を選ぶ。それは【体力】+1して、武装・タイプを持つ。"
ETD01-010,トリニティドラゴン,ドラゴン,フォロワー,竜族,2,3,2,【威圧】（相手は【威圧】を持つフォロワーを攻撃できない）
ETD01-011,ランスリザード,ドラゴン,フォロワー,竜族・武装,3,3,4,"自分のターンごとに1回、これが能力によって選ばれたとき、これは【攻撃力】+1する。相手のリーダーすべてに1ダメージ。
【ファンファーレ】【覚醒】状態なら、『ドラゴウェポン』1つを出す。
―――――――――――――――
『ドラゴウェポン』【ドラゴン】武装・アミュレット【コスト1】【起動】これを【アクト】墓場に置く：自分の【ドラゴン】フォロワー1体を選ぶ。それは【体力】+1して、武装・タイプを持つ。"
ETD01-012,ムシュフシュ,ドラゴン,フォロワー,竜族,2,2,3,自分のフォロワーが進化したとき、これは【攻撃力】+2する。
ETD01-013,ドラゴンテイマー,ドラゴン,フォロワー,竜使い,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】1枚引く。自分の手札1枚を捨てる。"
ETD01-014,ドラゴンテイマー,ドラゴン,フォロワー・エボルヴ,竜使い,-,3,3,【進化時】手札1枚を捨てる：自分の墓場の竜族・フォロワー1枚を選ぶ。それを手札に加える。
ETD01-015,ファイアーリザード,ドラゴン,フォロワー,竜族,2,3,2,【ファンファーレ】相手のリーダー1人か相手のフォロワー1体を選ぶ。それに1ダメージ。
ETD01-016,ドレッドドラゴン,ドラゴン,フォロワー,竜族,7,7,7,【ファンファーレ】相手のフォロワー1体を選ぶ。それに7ダメージ。
ETD01-017,アーマーパージ,ドラゴン,スペル,竜族・武装,1,-,-,"自分の武装・フォロワー1体と相手のフォロワー1体を選ぶ。前者をEXエリアに置く。後者に3ダメージ。『ドラゴウェポン』1つを出す。
―――――――――――――――
『ドラゴウェポン』【ドラゴン】武装・アミュレット【コスト1】【起動】これを【アクト】墓場に置く：自分の【ドラゴン】フォロワー1体を選ぶ。それは【体力】+1して、武装・タイプを持つ。"
ETD01-018,ドラゴニックアーマー,ドラゴン,スペル,竜族・武装,1,-,-,"『ドラゴウェポン』1つを出す。【覚醒】状態なら、代わりに2つ。（自分のPP最大値が7以上なら、【覚醒】状態になる）
―――――――――――――――
『ドラゴウェポン』【ドラゴン】武装・アミュレット【コスト1】【起動】これを【アクト】墓場に置く：自分の【ドラゴン】フォロワー1体を選ぶ。それは【体力】+1して、武装・タイプを持つ。"
ETD01-019,天剣の乙女,ニュートラル,フォロワー,天使,5,4,6,【守護】（これが場に出たときか、自分のエンドフェイズにこれをアクトできる。相手は、アクト状態の【守護】を持つフォロワー以外を攻撃できない）
ETD01-LD01,天竜ライト,ドラゴン,リーダー,-,-,-,-,
ETD01-T01,ドラゴウェポン,ドラゴン,アミュレット・トークン,武装,1,-,-,【起動】これを【アクト】墓場に置く：自分の【ドラゴン】フォロワー1体を選ぶ。それは【体力】+1して、武装・タイプを持つ。
