card_code,name,class,card_type,sub_type,cost,attack,hp,effect
PCS01-001,コッコロ,エルフ,フォロワー,プリコネ・美食殿,1,1,1,"【ファンファーレ】自分のリーダーは【体力】+1する。
----------
【進化】【コスト1】：これは進化する。
【ファンファーレ】【コスト2】：これは『アメスアミュレット』1枚を装備する。
―――――――――――――――
『アメスアミュレット』【エルフ】プリコネ・美食殿・イクイップメント【コスト2】これを装備しているフォロワーは「【起動】これを【アクト】：自分の場のフォロワーすべては【攻撃力】+1/【体力】+1する」を持つ。"
PCS01-002,コッコロ,エルフ,フォロワー・エボルヴ,プリコネ・美食殿,-,2,2,"【進化時】1枚引く。
【超進化時】自分のリーダーは【体力】+2する。1枚引く。"
PCS01-003,マコト,エルフ,フォロワー,プリコネ・カォン,2,3,2,【ファンファーレ】場のカード3枚を【アクト】：相手の場のフォロワー1体を選ぶ。それに4ダメージ。それのリーダーに2ダメージ。
PCS01-004,リノ,エルフ,フォロワー,プリコネ・ラビリンス,1,1,1,"【進化】【コスト2】：これは進化する。
【ファンファーレ】これがEXエリアからプレイされていたなら、これは進化する。"
PCS01-005,シズル＆リノ,エルフ,フォロワー・エボルヴ,プリコネ・ラビリンス,-,2,2,【進化時】相手の場のフォロワーすべてに1ダメージ。
PCS01-006,スズナ,エルフ,フォロワー,プリコネ・ルーセント学院,3,5,5,"【起動】これを【アクト】：相手の場のフォロワー1体を選ぶ。それに3ダメージ。
----------
【ファンファーレ】自分の手札1枚を捨てる。"
PCS01-007,オーロラヒーリング,エルフ,スペル,プリコネ・美食殿,1,-,-,自分の場のプリコネ・フォロワー1体を選ぶ。それをスタンドする。このターン、それは相手を攻撃できない。それの元のコストが1なら、1枚引く。
PCS01-008,ペコリーヌ,ロイヤル,フォロワー,プリコネ・美食殿,3,3,3,"【進化】【コスト1】：これは進化する。
【守護】
【ファンファーレ】【コスト2】：これは『プリンセスソード』1枚を装備する。
―――――――――――――――
『プリンセスソード』【ロイヤル】プリコネ・美食殿・イクイップメント【コスト2】これを装備しているフォロワーが与えるダメージを+2する。これを装備しているフォロワーが受けるダメージを-2する。"
PCS01-009,ペコリーヌ,ロイヤル,フォロワー・エボルヴ,プリコネ・美食殿,-,4,4,"【進化時】相手の場のフォロワー1体を選ぶ。それに4ダメージ。
----------
【守護】
【超進化時】相手のリーダーすべてに4ダメージ。"
PCS01-010,クレジッタ,ロイヤル,フォロワー,プリコネ・リッチモンド商工会,4,3,4,"【起動】これを【アクト】：相手の場のフォロワー1体を選ぶ。このターン、それが受けるダメージを+2する。
----------
【ファンファーレ】自分のデッキから「カード名に『ペコリーヌ』を含むフォロワー」1枚を探し、EXエリアに置く。このターン、それをプレイする際、コストを-3する。"
PCS01-011,シズル,ロイヤル,フォロワー,プリコネ・ラビリンス,3,2,4,"【起動】これを【アクト】：相手の場のフォロワー1体を選ぶ。それに1ダメージ。自分のリーダーは【体力】+1する。
----------
【守護】
【ファンファーレ】自分のデッキから元のコスト1の【進化】を持つプリコネ・フォロワー1枚を探し、EXエリアに置く。"
PCS01-012,ルカ,ロイヤル,フォロワー,プリコネ・トワイライトキャラバン,2,3,3,"【起動】【コスト1】これを【アクト】：相手の場のフォロワー1体を選ぶ。それに2ダメージ。
----------
【守護】"
PCS01-013,ニノン,ロイヤル,フォロワー,プリコネ・ヴァイスフリューゲル,2,2,2,"【起動】【コスト4】これを【アクト】：相手の場のフォロワー1体を選ぶ。それに5ダメージ。これをスタンドする。この能力は1ターンに1回使える。
----------
自分の場の他のフォロワーの能力が発動したとき、これは【攻撃力】+1/【体力】+1する。"
PCS01-014,プリンセスストライク,ロイヤル,スペル,プリコネ・美食殿,3,-,-,"これをプレイする際、場の「カード名に『ペコリーヌ』を含むフォロワー」1体を【アクト】：コストを-3する。
相手の場のフォロワー1体を選ぶ。それに5ダメージ。それのリーダーに2ダメージ。"
PCS01-015,キャル,ウィッチ,フォロワー,プリコネ・美食殿,4,3,4,"【ファンファーレ】手札のスペル1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに3ダメージ。1枚引く。
----------
【進化】【コスト1】：これは進化する。
【ファンファーレ】【コスト2】：これは『ケイオスグリモワール』1枚を装備する。"
PCS01-016,キャル,ウィッチ,フォロワー・エボルヴ,プリコネ・美食殿,-,4,5,"【進化時】相手の場のフォロワー1体を選ぶ。それに5ダメージ。
【超進化時】自分の墓場のスペルをカード名が異なるように2枚まで選ぶ。それをEXエリアに置く。このターン、それをプレイする際、コストを-2する。"
PCS01-017,マホ,ウィッチ,フォロワー,プリコネ・カォン,2,2,2,"【ファンファーレ】自分のリーダーか自分の場の他のフォロワー1体を選ぶ。それは【体力】+1する。
----------
【進化】【コスト1】：これは進化する。"
PCS01-018,キョウカ,ウィッチ,フォロワー,プリコネ・リトルリリカル,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分の墓場のプリコネ・スペル1枚を選ぶ。それをEXエリアに置く。それは「自分のエンドフェイズが来たとき、自分のEXエリアのこれを墓場に置く」を持つ。"
PCS01-019,ミソギ＆ミミ＆キョウカ,ウィッチ,フォロワー・エボルヴ,プリコネ・リトルリリカル,-,3,3,【進化時】相手の場のフォロワー1体を選ぶ。それに2ダメージ。このターン、自分がスペルをプレイしていたなら、それのリーダーに2ダメージ。
PCS01-020,ナナカ,ウィッチ,フォロワー,プリコネ・トワイライトキャラバン,3,3,3,"【ファンファーレ】手札のスペル1枚を捨てる：相手の場のフォロワー1体を選ぶ。それに5ダメージ。
----------
ターンごとに1回、自分の場の他のフォロワーの能力が発動したとき、自分の墓場のプリコネ・スペル1枚を選ぶ。それをEXエリアに置く。"
PCS01-021,ダークエクリプス,ウィッチ,スペル,プリコネ・美食殿,2,-,-,"これを自分の手札から捨てたとき、相手の場のフォロワー1体を選ぶ。それに1ダメージ。
----------
自分の場のプリコネ・フォロワー1体を選ぶ。それは【攻撃力】+3して、【突進】【指定攻撃】を持つ。"
PCS01-022,シェフィ,ドラゴン,フォロワー,プリコネ・美食殿,2,2,2,"【ファンファーレ】相手の場のフォロワー1体を選ぶ。それは次のそれのプレイヤーのスタートフェイズにスタンドしない。
----------
【進化】【コスト1】：これは進化する。
【ファンファーレ】【覚醒】状態なら、これは『氷竜剣』1枚を装備する。"
PCS01-023,カヤ,ドラゴン,フォロワー,プリコネ・ドラゴンズネスト,6,4,4,"【進化】【コスト1】：これは進化する。
【疾走】
自分の場の他のフォロワーの能力が発動したとき、相手のリーダーすべてに2ダメージ。
【ファンファーレ】相手の場のフォロワー1体を選ぶ。それに4ダメージ。自分のPP最大値が10なら、これは進化する。"
PCS01-024,カヤ,ドラゴン,フォロワー・エボルヴ,プリコネ・ドラゴンズネスト,-,5,5,"【進化時】自分のデッキから「これと同名を除くドラゴンズネスト・カード」1枚を探し、EXエリアに置く。このターン、それをプレイする際、コストを-2する。
----------
【疾走】
自分の場の他のフォロワーの能力が発動したとき、相手のリーダーすべてに2ダメージ。"
PCS01-025,ヒヨリ,ドラゴン,フォロワー,プリコネ・トゥインクルウィッシュ,4,4,4,"【攻撃時】相手の場のフォロワー1体を選ぶ。それとそれのリーダーに2ダメージ。自分のPP最大値が10なら、代わりに4ダメージ。
----------
【突進】
【ファンファーレ】自分のデッキから元のコスト1のトゥインクルウィッシュ・フォロワー1枚を探し、EXエリアに置く。"
PCS01-026,イノリ,ドラゴン,フォロワー,プリコネ・ドラゴンズネスト,2,2,2,"【起動】これを【アクト】：相手のリーダーすべてと相手の場のフォロワーすべてに1ダメージ。この能力は【覚醒】状態なら使える。
----------
【進化】【コスト1】：これは進化する。"
PCS01-027,カオリ,ドラゴン,フォロワー,プリコネ・カォン,3,3,3,"【攻撃時】【コスト2】：相手のリーダーすべてに3ダメージ。
----------
【突進】
自分の場に他のプリコネ・フォロワーがいる限り、これは【疾走】を持つ。"
PCS01-028,イタズラ宣言,ドラゴン,アミュレット,プリコネ・リトルリリカル,1,-,-,"【ファンファーレ】各プレイヤーは、1枚引く。
【ラストワード】相手のリーダーすべてに1ダメージ。"
PCS01-029,イリヤ,ナイトメア,フォロワー,プリコネ・ディアボロス,2,2,2,"【起動】これを【アクト】墓場のカード5枚を消滅：相手の場のフォロワー1体を選ぶ。それに3ダメージ。自分のリーダーは【体力】+3する。
----------
【進化】【コスト1】：これは進化する。
【ファンファーレ】【コスト2】：これは『闇斧ナハトファング』1枚を装備する。"
PCS01-030,イリヤ,ナイトメア,フォロワー・エボルヴ,プリコネ・ディアボロス,-,3,3,"【起動】これを【アクト】墓場のカード5枚を消滅：相手の場のフォロワー1体を選ぶ。それに3ダメージ。自分のリーダーは【体力】+3する。
----------
【進化時】自分のデッキからプリコネ・カード1枚を探し、墓場に置く。
【超進化時】相手の場のフォロワー1体を選ぶ。それに5ダメージ。"
PCS01-031,シノブ,ナイトメア,フォロワー,プリコネ・ディアボロス,3,3,3,"【ファンファーレ】相手の場のフォロワー1体を選ぶ。それに「自分の場のディアボロス・フォロワーの数」と同じダメージ。
----------
【進化】【コスト1】：これは進化する。
自分の場の他のフォロワーの能力が発動したとき、自分のデッキの上1枚を墓場に置く。"
PCS01-032,シノブ,ナイトメア,フォロワー・エボルヴ,プリコネ・ディアボロス,-,4,4,"自分の場の他のフォロワーの能力が発動したとき、自分のデッキの上1枚を墓場に置く。
【進化時】『ドクロ親父』1体を場に出す。
―――――――――――――――
『ドクロ親父』【ナイトメア】プリコネ・ディアボロス・フォロワー【コスト1】【攻撃力】2/【体力】1【突進】【ラストワード】自分の場のディアボロス・フォロワー2体まで選ぶ。それは【攻撃力】+1する。"
PCS01-033,レイ,ナイトメア,フォロワー,プリコネ・トゥインクルウィッシュ,1,1,2,"【攻撃時】これは【攻撃力】+1する。これを含めず、このターン中に自分の能力が2回以上発動していたなら、代わりに【攻撃力】+2する。
----------
【突進】"
PCS01-034,ヨリ,ナイトメア,フォロワー,プリコネ・ディアボロス,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】相手の場のフォロワー1体を選ぶ。これが手札以外から場に出ていたなら、それに2ダメージ。"
PCS01-035,アカリ,ナイトメア,フォロワー,プリコネ・ディアボロス,3,2,2,"【起動】【コスト0】：自分の場の他のディアボロス・フォロワー1体を選ぶ。それは【攻撃力】+1する。この能力は1ターンに1回使える。
----------
【ファンファーレ】自分の墓場の「これと同名を除くディアボロス・フォロワー」1枚を選ぶ。それをEXエリアに置く。このターン、それをプレイする際、コストを-2する。"
PCS01-036,ミヤコ,ナイトメア,フォロワー,プリコネ・ディアボロス,1,2,2,"【起動】【コスト4】：相手の場のフォロワー1体を選ぶ。それを消滅させる。自分のリーダーは【体力】+2する。
----------
【ファンファーレ】自分のデッキの上5枚を見る。その中から、ディアボロス・フォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。ディアボロス・フォロワーを公開したなら、自分の手札1枚を捨てる。"
PCS01-037,イオ,ナイトメア,フォロワー,プリコネ・ルーセント学院,5,3,4,"【起動】【コスト1】：相手プレイヤーすべては、自身の場のフォロワー1体を墓場に置く。この能力は1ターンに1回使える。
----------
【ファンファーレ】自分のデッキから元のコスト3以下のルーセント学院・フォロワー1枚と元のコスト1のルーセント学院・フォロワー1枚を探し、場に出す。それの【ファンファーレ】能力は誘発しない。"
PCS01-038,羅刹涅槃・無式,ナイトメア,スペル,プリコネ・トワイライトキャラバン,1,-,-,相手の場のフォロワー1体を選ぶ。それに2ダメージ。自分のデッキの上1枚を見る。その中から、プリコネ・カード1枚を墓場に置いてよい。
PCS01-039,サレン,ビショップ,フォロワー,プリコネ・サレンディア救護院,5,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】下記から1つチョイスする。自分のリーダーの体力が10以下なら、代わりに2つまで。
【1】これは『グロリアスフェザー』1枚を装備する。【2】自分のデッキからサレンディア救護院・フォロワーを元のコストの合計が3以下になるように2枚まで探し、場に出す。"
PCS01-040,アキノ＆サレン,ビショップ,フォロワー・エボルヴ,プリコネ・サレンディア救護院,-,4,4,"【進化時】相手の場のフォロワー1体を選ぶ。それに4ダメージ。それ以外の相手の場のフォロワーすべてに1ダメージ。
----------
【超進化時】相手のリーダーすべてと相手の場のフォロワーすべてに2ダメージ。"
PCS01-041,ユイ,ビショップ,フォロワー,プリコネ・トゥインクルウィッシュ,1,1,1,【進化】【コスト1】：これは進化する。
PCS01-042,ユカリ,ビショップ,フォロワー,プリコネ・メルクリウス財団,2,2,3,"【ファンファーレ】場のアミュレット1つを【アクト】：自分の場の他のフォロワー1体を選ぶ。それは【体力】+2する。
----------
【守護】
【起動】これを【アクト】：自分の場のアミュレットすべてをスタンドする。"
PCS01-043,ミサト,ビショップ,フォロワー,プリコネ・フォレスティエ,1,2,2,"【ファンファーレ】場のアミュレット1つを墓場に置く：自分のリーダーは【体力】+2する。
----------
【守護】"
PCS01-044,キャプチャーストリング,ビショップ,アミュレット,プリコネ・カルミナ,2,-,-,"これがアクトしたとき、相手のリーダー1人か相手の場のフォロワー1体を選ぶ。それに1ダメージ。
【ファンファーレ】相手の場のフォロワー1体を選ぶ。それに3ダメージ。
【ラストワード】相手のリーダー1人か相手の場のフォロワー1体を選ぶ。それに1ダメージ。"
PCS01-045,クルミ,ビショップ,フォロワー,プリコネ・サレンディア救護院,1,2,2,【ファンファーレ】相手の場のフォロワー1体を選ぶ。それをアクトする。
PCS01-046,ドングリチャージ,ビショップ,アミュレット,プリコネ・エリザベスパーク,1,-,-,"これがアクトしたとき、自分のリーダーは【体力】+1する。
【ファンファーレ】自分のデッキの上1枚を見る。その中から、プリコネ・カード1枚を公開して手札に加えてよい。"
PCS01-047,カイザーインサイト,ニュートラル,フォロワー,プリコネ・七冠,7,6,6,"【進化】【コスト1】：これは進化する。
【ファンファーレ】手札のプリコネ・カード2枚を捨てる：2枚引く。相手プレイヤーすべては、自身の手札2枚を捨てる。"
PCS01-048,プリンセスナイト,ニュートラル,フォロワー,プリコネ,8,2,2,"【進化】【コスト1】：これは進化する。
これが場にいる限り、自分の場の他のプリコネ・フォロワーすべては【守護】を持つ。
【ファンファーレ】自分のデッキの上1枚を公開する。それがプリコネ・フォロワーなら、それを場に出す。"
PCS01-049,プリンセスナイト,ニュートラル,フォロワー・エボルヴ,プリコネ,-,3,3,"これが場にいる限り、自分の場の他のプリコネ・フォロワーすべては【守護】を持つ。
【進化時】自分の場の他のプリコネ・フォロワー1体を選ぶ。それは【攻撃力】+10/【体力】+10する。"
PCS01-050,アメス,ニュートラル,フォロワー,プリコネ,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分のデッキの上1枚を見る。その中から、プリコネ・カード1枚を公開して手札に加えてよい。"
PCS01-EP,賑やかな食卓,-,EP,-,-,-,-,"「ほら、キャルちゃんも食べてみてください♪」
「なんでいつも魔物料理なのよ！」「キャルさま。そう仰らず」"
