card_code,name,class,card_type,sub_type,cost,attack,hp,effect
SD03-001,ミスリルゴーレム,ウィッチ,フォロワー,ゴーレム,6,5,6,【ファンファーレ】相手のフォロワーすべてに3ダメージ。【スペルチェイン_7】代わりに5ダメージ。【SC_15】相手のリーダーすべてに5ダメージ。(自分の墓場のスペルが7枚以上なら、【スペルチェイン_7】の後の能力が働く。15枚以上なら、さらに【SC_15】の後の能力が働く)
SD03-002,ルーンブレードサモナー,ウィッチ,フォロワー,魔法使い,3,1,1,【ファンファーレ】【スペルチェイン_5】これは【攻撃力】+4/【体力】+4する。【SC_10】これは【疾走】を持つ。(自分の墓場のスペルが5枚以上なら、【スペルチェイン_5】の後の能力が働く。10枚以上なら、さらに【SC_10】の後の能力が働く)
SD03-003,デモンフレイムメイジ,ウィッチ,フォロワー,魔法使い,3,3,3,【進化】【コスト1】：これは進化する。
SD03-004,デモンフレイムメイジ,ウィッチ,フォロワー・エボルヴ,魔法使い,-,4,4,【進化時】相手のフォロワーすべてに2ダメージ。
SD03-005,知恵の光,ウィッチ,スペル,魔法使い,1,-,-,1枚引く。
SD03-006,ファイアーチェイン,ウィッチ,スペル,魔法使い,2,-,-,相手のフォロワー2体まで選ぶ。それに3ダメージを割りふる。
SD03-007,ライトニングシューター,ウィッチ,フォロワー,魔法使い,4,3,3,【ファンファーレ】相手のフォロワー1体を選ぶ。それに2ダメージ。【スペルチェイン_5】代わりに4ダメージ。【SC_10】それのリーダーに2ダメージ。(自分の墓場のスペルが5枚以上なら、【スペルチェイン_5】の後の能力が働く。10枚以上なら、さらに【SC_10】の後の能力が働く)
SD03-008,ペンギンウィザード,ウィッチ,フォロワー,魔法生物,2,1,4,"【進化】【コスト1】：これは進化する。
【起動】これを【アクト】手札のスペル1枚を捨てる：1枚引く。"
SD03-009,ペンギンウィザード,ウィッチ,フォロワー・エボルヴ,魔法生物,-,2,5,"【進化時】これをスタンドする。
【起動】これを【アクト】手札のスペル1枚を捨てる：1枚引く。"
SD03-010,ルーキーマジシャン・サミー,ウィッチ,フォロワー,魔法使い,1,2,1,"【進化】【コスト2】：これは進化する。
【ファンファーレ】自分のデッキの上1枚を見る。それを墓場に置いてよい。"
SD03-011,ルーキーマジシャン・サミー,ウィッチ,フォロワー・エボルヴ,魔法使い,-,3,2,【進化時】各プレイヤーは1枚引く。
SD03-012,ウィンドブラスト,ウィッチ,スペル,魔法使い,1,-,-,相手のフォロワー1体を選ぶ。それに2ダメージ。【スペルチェイン_10】代わりに4ダメージ。(自分の墓場のスペルが（これを含めず）10枚以上なら、【スペルチェイン_10】の後の能力が働く)
SD03-013,魔力の蓄積,ウィッチ,スペル,魔法使い,2,-,-,自分のデッキの上4枚を見る。その中から、スペル1枚を公開して手札に加えてよい。スペル1枚を墓場に置いてよい。残りを好きな順にデッキの下に置く。
SD03-014,炎の握撃,ウィッチ,スペル,魔法使い,4,-,-,相手のフォロワー1体を選ぶ。それを破壊する。【スペルチェイン_10】それのリーダーに3ダメージ。(自分の墓場のスペルが（これを含めず）10枚以上なら、【スペルチェイン_10】の後の能力が働く)
SD03-015,マジックミサイル,ウィッチ,スペル,魔法使い,3,-,-,相手のフォロワー1体を選ぶ。それに2ダメージ。1枚引く。
SD03-016,ゴーレムの錬成,ウィッチ,スペル,錬金術師,1,-,-,"『防御型ゴーレム』1枚か『攻撃型ゴーレム』1枚をEXエリアに置く。
―――――――――――――――
『防御型ゴーレム』【ウィッチ】ゴーレム・フォロワー【コスト2】【攻撃力】2/【体力】3【守護】
『攻撃型ゴーレム』【ウィッチ】ゴーレム・フォロワー【コスト2】【攻撃力】3/【体力】2【突進】"
SD03-017,ヒーリングエンジェル,ニュートラル,フォロワー,天使,3,2,4,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分のリーダーは【体力】+1する。"
SD03-018,ヒーリングエンジェル,ニュートラル,フォロワー・エボルヴ,天使,-,3,5,【進化時】自分のリーダーは【体力】+2する。
SD03-019,エンジェルスナイプ,ニュートラル,スペル,天使,1,-,-,相手のフォロワー1体を選ぶ。それに2ダメージ。
SD03-020,エンジェルバレッジ,ニュートラル,スペル,天使,1,-,-,相手のフォロワーすべてに1ダメージ。
SD03-LD01,イザベル,ウィッチ,リーダー,-,-,-,-,
SD03-T01,攻撃型ゴーレム,ウィッチ,フォロワー・トークン,ゴーレム,2,3,2,【突進】(【突進】を持つフォロワーは、場に出たターンから相手のフォロワーを攻撃できる)
SD03-T02,防御型ゴーレム,ウィッチ,フォロワー・トークン,ゴーレム,2,2,3,【守護】(これが場に出たときか、自分のエンドフェイズにこれをアクトできる。相手は、アクト状態の【守護】を持つフォロワー以外を攻撃できない)
