card_code,name,class,card_type,sub_type,cost,attack,hp,effect
SP01-001,揺蕩う意志・スピネ,エルフ,フォロワー,超克,3,1,3,"自分の場のフォロワーが進化したとき、自分のリーダーは【体力】+2する。
【ファンファーレ】自分の墓場の元のコスト2以下の【エルフ】フォロワー1枚を選ぶ。それをEXエリアに置く。このターン、それをプレイする際、コストを-2する。"
SP01-002,人形の少女・オーキス,エルフ,フォロワー,人形,3,2,2,"【進化】【コスト1】：これは『決意の人形・オーキス』に進化する。
【進化】【コスト4】：これは『復讐の人形・オーキス』に進化する。この能力は自分の墓場の人形・カードが3枚以上なら使える。"
SP01-003,フェアリープリンセス・アリア,エルフ,フォロワー,妖精・プリンセス,6,5,5,"【守護】
これが場にいる限り、自分の場の他の妖精・フォロワーすべては【突進】を持つ。
【ファンファーレ】『フェアリー』9枚の中から、好きな枚数を場に出す。好きな枚数をEXエリアに置く。"
SP01-004,殺戮の人形・ツヴァイ,エルフ,フォロワー,人形・キラー,3,2,2,"【進化】【コスト2】：これは進化する。
【ファンファーレ】自分のEXエリアの『操り人形』1枚を選ぶ。それは『ヴィクトリア』に変身する。"
SP01-005,殺戮の人形・ツヴァイ,エルフ,フォロワー・エボルヴ,人形・キラー,-,4,4,【進化時】自分の場の『ヴィクトリア』1体を選ぶ。このターン、それはダメージを受けない。
SP01-006,心優しきエルフ・フィト,エルフ,フォロワー,エルフ族,2,2,1,【進化】【コスト1】：これは進化する。
SP01-007,心優しきエルフ・フィト,エルフ,フォロワー・エボルヴ,エルフ族,-,3,2,【進化時】自分のリーダーは【体力】+1する。1枚引く。
SP01-008,クリスタリア・リリィ,エルフ,フォロワー,クリスタリア,2,1,3,"【進化】【コスト2】：これは進化する。
【ファンファーレ】自分のデッキの上2枚を見る。その中から、クリスタリア・フォロワーか妖精・フォロワー1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。"
SP01-009,クリスタリア・リリィ,エルフ,フォロワー・エボルヴ,クリスタリア,-,2,4,【進化時】相手の場のフォロワー1体を選ぶ。それのプレイヤーはそれをデッキの下に置く。
SP01-010,晴天の銀騎士・エミリア,ロイヤル,フォロワー,指揮官,4,4,4,"自分の場に兵士・フォロワーが出たとき、相手の場のフォロワー1体を選ぶ。それに3ダメージ。
【起動】【コスト0】：自分の手札か自分のEXエリアの元のコスト2以下の兵士・フォロワー1枚を場に出してよい。この能力は1ターンに1回使える。"
SP01-011,空の指揮官・セリア,ロイヤル,フォロワー,指揮官,1,2,2,"【進化】【コスト1】：これは『希望の戦術家・セリア』に進化する。
【進化】【コスト4】：これは『絶望の使者・セリア』に進化する。"
SP01-012,音速の機構・ララミア,ロイヤル,フォロワー,兵士・超克,2,3,2,"【進化】【コスト3】：これは進化する。
これの【進化】コストは「自分の場の他のフォロワーの数」と同じだけ-1する。
【突進】"
SP01-013,音速の機構・ララミア,ロイヤル,フォロワー・エボルヴ,兵士・超克,-,4,3,"【疾走】
【進化時】【コスト3】：これは【攻撃力】+X/【体力】+Xする。Xは「自分の場の他のフォロワーの数」である。"
SP01-014,レヴィオンセイバー・アルベール,ロイヤル,フォロワー,指揮官・レヴィオン,4,3,5,"【進化】【コスト3】：これは進化する。
【疾走】"
SP01-015,レヴィオンセイバー・アルベール,ロイヤル,フォロワー・エボルヴ,指揮官・レヴィオン,-,3,5,"【疾走】
【攻撃時】これをスタンドする。この能力は1ターンに1回働く。
【進化時】このターン、これは交戦ダメージを受けない。"
SP01-016,レヴィオンヴァンガード・ジェノ,ロイヤル,フォロワー,兵士・レヴィオン,3,3,3,【進化】【コスト1】：これは進化する。
SP01-017,レヴィオンヴァンガード・ジェノ,ロイヤル,フォロワー・エボルヴ,兵士・レヴィオン,-,4,4,"【指定攻撃】
【進化時】自分のデッキの上4枚を見る。その中から「これと同名を除くレヴィオン・フォロワー」1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。"
SP01-018,レヴィオンデューク・ユリウス,ロイヤル,フォロワー,貴族・レヴィオン,2,0,4,【Q】【起動】これを【アクト】：相手の場のフォロワー1体を選ぶ。それに1ダメージ。
SP01-019,あどけない飛沫・プリス,ウィッチ,フォロワー,魔法使い・学院,6,4,5,"自分が魔法使い・カードをプレイしたとき、相手の場のフォロワー1体を選ぶ。それに2ダメージ。
【ファンファーレ】自分のデッキの上5枚を見る。その中から、元のコスト3以下の魔法使い・フォロワーと元のコスト3以下の魔法使い・スペルそれぞれ1枚までEXエリアに置いてよい。残りを好きな順にデッキの下に置く。このターン、それをプレイする際、コストを-3する。"
SP01-020,マナリアの魔導姫・アン,ウィッチ,フォロワー,魔法使い・学院・プリンセス,6,5,5,"【ファンファーレ】下記から1つチョイスする。自分の墓場の学院・カードが10枚以上なら、代わりに2つまで。
【1】自分のデッキから『アンの大魔法』1枚を探し、EXエリアに置く。このターン、次に自分が『アンの大魔法』をプレイする際、コストを-5する。【2】自分のデッキから『マナリアの竜姫・グレア』1枚を探し、場に出す。"
SP01-021,マナリアの竜姫・グレア,ウィッチ,フォロワー,魔法使い・学院・プリンセス,3,3,3,"【進化】【コスト1】：これは進化する。
【ファンファーレ】相手の場のフォロワー1体を選ぶ。自分の墓場の学院・カードが10枚以上なら、それに4ダメージ。それのリーダーに1ダメージ。"
SP01-022,マナリアの竜姫・グレア,ウィッチ,フォロワー・エボルヴ,魔法使い・学院・プリンセス,-,4,4,"これが場にいる限り、自分の学院・スペルが与えるダメージを+1する。
【進化時】自分のデッキから『グレアの炎熱』1枚を探し、EXエリアに置く。このターン、次に自分が『グレアの炎熱』をプレイする際、コストを-1する。"
SP01-023,天才魔法使い・エルザ,ウィッチ,フォロワー,魔法使い・学院,1,1,1,【進化】【コスト2】：これは進化する。
SP01-024,天才魔法使い・エルザ,ウィッチ,フォロワー・エボルヴ,魔法使い・学院,-,2,2,【進化時】自分のデッキから魔法生物・フォロワー1枚を探し、手札に加える。
SP01-025,学院の新入生・ルゥ,ウィッチ,フォロワー,魔法使い・学院,2,1,2,【ファンファーレ】自分のデッキから元のコスト1のスペル1枚を探し、手札に加える。
SP01-026,水辺のニンフ・シャロン,ドラゴン,フォロワー,海洋,7,3,3,"【ファンファーレ】自分のPPを5回復する。
【起動】これを【アクト】：下記から2つまでチョイスする。【1】相手の場のフォロワー1体を選ぶ。次のそれのプレイヤーのターン中、それは相手を攻撃できない。【2】このターン、次に自分の場にフォロワーが1体以上出たとき、その中の1体は【攻撃力】+1/【体力】+1する。【3】自分のリーダーは【体力】+2する。【4】1枚引く。"
SP01-027,銀氷のドラゴニュート・フィルレイン,ドラゴン,フォロワー,ドラゴニュート,1,1,3,"【ファンファーレ】相手の場のフォロワー1体を選ぶ。それをアクトする。それは次の相手のスタートフェイズにスタンドしない。
【ファンファーレ】【覚醒】状態なら、自分のデッキから『銀氷の吐息』1枚を探し、EXエリアに置く。"
